account_id,account_name,location,potential_revenue,technology_needs_text
account_37,Account 37 Inc.,APAC,1823823,Seeking expertise in ERP Systems. Key project involves digital transformation and infrastructure upgrade.
account_38,Account 38 Inc.,North America,1589539,Seeking expertise in AI/ML. Also interested in solutions for Data Analytics. Key project involves digital transformation and infrastructure upgrade.
account_39,Account 39 Inc.,EMEA,1879758,Seeking expertise in IoT. Key project involves digital transformation and infrastructure upgrade.
account_40,Account 40 Inc.,North America,857239,"Seeking expertise in CRM Solutions. Also interested in solutions for DevOps, Cybersecurity. "
account_41,Account 41 Inc.,North America,239227,Seeking expertise in Cloud Computing. Key project involves digital transformation and infrastructure upgrade.
account_42,Account 42 Inc.,APAC,338715,Seeking expertise in CRM Solutions. Key project involves digital transformation and infrastructure upgrade.
account_43,Account 43 Inc.,North America,421947,Seeking expertise in AI/ML. Also interested in solutions for CRM Solutions. Key project involves digital transformation and infrastructure upgrade.
account_44,Account 44 Inc.,EMEA,991231,"Seeking expertise in IoT. Also interested in solutions for Data Analytics, ERP Systems. "
account_45,Account 45 Inc.,North America,1240663,Seeking expertise in ERP Systems. Key project involves digital transformation and infrastructure upgrade.
account_46,Account 46 Inc.,LATAM,1237485,"Seeking expertise in IoT. Also interested in solutions for ERP Systems, Cloud Computing, AI/ML. Key project involves digital transformation and infrastructure upgrade."
account_47,Account 47 Inc.,North America,741039,Seeking expertise in Cloud Computing. Also interested in solutions for DevOps. Key project involves digital transformation and infrastructure upgrade.
account_48,Account 48 Inc.,North America,1168534,Seeking expertise in CRM Solutions. Also interested in solutions for Cloud Computing. 
account_49,Account 49 Inc.,EMEA,416233,"Seeking expertise in AI/ML. Also interested in solutions for CRM Solutions, Data Analytics, Cybersecurity. "
account_50,Account 50 Inc.,APAC,1052894,"Seeking expertise in DevOps. Also interested in solutions for AI/ML, Cloud Computing. "
account_51,Account 51 Inc.,North America,1687662,Seeking expertise in Cybersecurity. 
account_52,Account 52 Inc.,APAC,1685867,"Seeking expertise in ERP Systems. Also interested in solutions for Data Analytics, Cybersecurity. "
account_53,Account 53 Inc.,North America,1484902,"Seeking expertise in DevOps. Also interested in solutions for Data Analytics, Cybersecurity. "
account_54,Account 54 Inc.,APAC,1947841,Seeking expertise in Cloud Computing. Key project involves digital transformation and infrastructure upgrade.
account_55,Account 55 Inc.,APAC,241590,Seeking expertise in Cloud Computing. 
account_56,Account 56 Inc.,LATAM,924544,Seeking expertise in DevOps. Also interested in solutions for Cloud Computing. 
account_57,Account 57 Inc.,LATAM,247214,Seeking expertise in Data Analytics. 
account_58,Account 58 Inc.,North America,414610,"Seeking expertise in CRM Solutions. Also interested in solutions for Cloud Computing, AI/ML, DevOps. "
account_59,Account 59 Inc.,APAC,897793,"Seeking expertise in CRM Solutions. Also interested in solutions for Cybersecurity, Data Analytics, DevOps. Key project involves digital transformation and infrastructure upgrade."
account_60,Account 60 Inc.,North America,1289816,"Seeking expertise in DevOps. Also interested in solutions for CRM Solutions, AI/ML, Cybersecurity. Key project involves digital transformation and infrastructure upgrade."
account_61,Account 61 Inc.,North America,1238034,Seeking expertise in DevOps. Key project involves digital transformation and infrastructure upgrade.
account_62,Account 62 Inc.,North America,807040,"Seeking expertise in Cybersecurity. Also interested in solutions for IoT, ERP Systems. Key project involves digital transformation and infrastructure upgrade."
account_63,Account 63 Inc.,EMEA,1479516,"Seeking expertise in Cloud Computing. Also interested in solutions for DevOps, CRM Solutions. "
account_64,Account 64 Inc.,EMEA,239728,"Seeking expertise in IoT. Also interested in solutions for DevOps, ERP Systems, Cybersecurity. "
account_65,Account 65 Inc.,North America,1283361,"Seeking expertise in CRM Solutions. Also interested in solutions for Cloud Computing, ERP Systems, AI/ML. Key project involves digital transformation and infrastructure upgrade."
account_66,Account 66 Inc.,APAC,126418,Seeking expertise in Cybersecurity. 
account_67,Account 67 Inc.,North America,1642817,"Seeking expertise in IoT. Also interested in solutions for CRM Solutions, Data Analytics. Key project involves digital transformation and infrastructure upgrade."
account_68,Account 68 Inc.,EMEA,117822,"Seeking expertise in ERP Systems. Also interested in solutions for Cloud Computing, Data Analytics, IoT. Key project involves digital transformation and infrastructure upgrade."
account_69,Account 69 Inc.,LATAM,1823258,"Seeking expertise in AI/ML. Also interested in solutions for Data Analytics, Cybersecurity, CRM Solutions. Key project involves digital transformation and infrastructure upgrade."
account_70,Account 70 Inc.,North America,1817010,Seeking expertise in IoT. Also interested in solutions for ERP Systems. 
account_71,Account 71 Inc.,North America,1654536,"Seeking expertise in DevOps. Also interested in solutions for ERP Systems, CRM Solutions, Cybersecurity. Key project involves digital transformation and infrastructure upgrade."
account_72,Account 72 Inc.,LATAM,1734806,Seeking expertise in ERP Systems. 
account_73,Account 73 Inc.,EMEA,1899042,Seeking expertise in ERP Systems. Also interested in solutions for Data Analytics. 
account_74,Account 74 Inc.,APAC,1789356,"Seeking expertise in Data Analytics. Also interested in solutions for Cybersecurity, IoT, AI/ML. Key project involves digital transformation and infrastructure upgrade."
account_75,Account 75 Inc.,EMEA,864415,"Seeking expertise in IoT. Also interested in solutions for Data Analytics, AI/ML. Key project involves digital transformation and infrastructure upgrade."
account_76,Account 76 Inc.,EMEA,182982,"Seeking expertise in AI/ML. Also interested in solutions for DevOps, Data Analytics, CRM Solutions. Key project involves digital transformation and infrastructure upgrade."
account_77,Account 77 Inc.,LATAM,290061,"Seeking expertise in Cloud Computing. Also interested in solutions for Cybersecurity, ERP Systems, IoT. Key project involves digital transformation and infrastructure upgrade."
account_78,Account 78 Inc.,EMEA,1930664,"Seeking expertise in IoT. Also interested in solutions for AI/ML, Cybersecurity. Key project involves digital transformation and infrastructure upgrade."
account_79,Account 79 Inc.,LATAM,131348,"Seeking expertise in AI/ML. Also interested in solutions for DevOps, CRM Solutions. Key project involves digital transformation and infrastructure upgrade."
account_80,Account 80 Inc.,APAC,758461,"Seeking expertise in IoT. Also interested in solutions for AI/ML, ERP Systems. "
account_81,Account 81 Inc.,EMEA,1178033,Seeking expertise in ERP Systems. Key project involves digital transformation and infrastructure upgrade.
account_82,Account 82 Inc.,LATAM,1041921,"Seeking expertise in Cloud Computing. Also interested in solutions for DevOps, Data Analytics, IoT. "
account_83,Account 83 Inc.,APAC,403894,Seeking expertise in CRM Solutions. Also interested in solutions for Cybersecurity. 
account_84,Account 84 Inc.,LATAM,216905,Seeking expertise in Cloud Computing. Also interested in solutions for DevOps. Key project involves digital transformation and infrastructure upgrade.
account_85,Account 85 Inc.,LATAM,1627117,"Seeking expertise in IoT. Also interested in solutions for ERP Systems, Data Analytics. Key project involves digital transformation and infrastructure upgrade."
account_86,Account 86 Inc.,LATAM,1056158,Seeking expertise in Data Analytics. Also interested in solutions for AI/ML. Key project involves digital transformation and infrastructure upgrade.
account_87,Account 87 Inc.,APAC,1297123,Seeking expertise in Data Analytics. Also interested in solutions for IoT. 
account_88,Account 88 Inc.,EMEA,1992548,"Seeking expertise in Cybersecurity. Also interested in solutions for ERP Systems, IoT, CRM Solutions. "
account_89,Account 89 Inc.,LATAM,871019,"Seeking expertise in AI/ML. Also interested in solutions for Cloud Computing, DevOps. Key project involves digital transformation and infrastructure upgrade."
account_90,Account 90 Inc.,North America,166188,"Seeking expertise in DevOps. Also interested in solutions for ERP Systems, Cloud Computing, Data Analytics. Key project involves digital transformation and infrastructure upgrade."
account_91,Account 91 Inc.,APAC,306036,"Seeking expertise in ERP Systems. Also interested in solutions for Data Analytics, AI/ML, IoT. Key project involves digital transformation and infrastructure upgrade."
account_92,Account 92 Inc.,LATAM,1921285,"Seeking expertise in Data Analytics. Also interested in solutions for AI/ML, IoT, Cloud Computing. "
account_93,Account 93 Inc.,APAC,1191730,Seeking expertise in Data Analytics. Key project involves digital transformation and infrastructure upgrade.
account_94,Account 94 Inc.,North America,1913985,"Seeking expertise in Data Analytics. Also interested in solutions for DevOps, AI/ML. Key project involves digital transformation and infrastructure upgrade."
account_95,Account 95 Inc.,APAC,1341005,Seeking expertise in Data Analytics. Also interested in solutions for IoT. Key project involves digital transformation and infrastructure upgrade.
account_96,Account 96 Inc.,LATAM,1643460,Seeking expertise in CRM Solutions. Also interested in solutions for Cybersecurity. 
account_97,Account 97 Inc.,APAC,828397,"Seeking expertise in Cloud Computing. Also interested in solutions for Cybersecurity, DevOps. "
account_98,Account 98 Inc.,APAC,1299217,"Seeking expertise in Cybersecurity. Also interested in solutions for IoT, DevOps. Key project involves digital transformation and infrastructure upgrade."
account_99,Account 99 Inc.,LATAM,816443,"Seeking expertise in IoT. Also interested in solutions for AI/ML, Data Analytics. "
account_100,Account 100 Inc.,LATAM,1462746,Seeking expertise in Cybersecurity. Key project involves digital transformation and infrastructure upgrade.
account_101,Account 101 Inc.,LATAM,655700,Seeking expertise in ERP Systems. Also interested in solutions for CRM Solutions. 
account_102,Account 102 Inc.,LATAM,1515659,Seeking expertise in AI/ML. Also interested in solutions for Cloud Computing. 
account_103,Account 103 Inc.,North America,478949,Seeking expertise in CRM Solutions. Also interested in solutions for IoT. 
account_104,Account 104 Inc.,LATAM,1357098,"Seeking expertise in AI/ML. Also interested in solutions for CRM Solutions, Data Analytics. "
account_105,Account 105 Inc.,APAC,1595042,"Seeking expertise in DevOps. Also interested in solutions for Cloud Computing, AI/ML. Key project involves digital transformation and infrastructure upgrade."
account_106,Account 106 Inc.,LATAM,1318815,"Seeking expertise in ERP Systems. Also interested in solutions for AI/ML, IoT. Key project involves digital transformation and infrastructure upgrade."
account_107,Account 107 Inc.,APAC,729820,Seeking expertise in ERP Systems. Also interested in solutions for Cloud Computing. 
account_108,Account 108 Inc.,North America,1660376,"Seeking expertise in ERP Systems. Also interested in solutions for Data Analytics, Cybersecurity, IoT. Key project involves digital transformation and infrastructure upgrade."
account_109,Account 109 Inc.,APAC,792293,Seeking expertise in Data Analytics. 
account_110,Account 110 Inc.,EMEA,279566,Seeking expertise in AI/ML. Key project involves digital transformation and infrastructure upgrade.
account_111,Account 111 Inc.,LATAM,775480,"Seeking expertise in IoT. Also interested in solutions for ERP Systems, AI/ML, DevOps. "
account_112,Account 112 Inc.,EMEA,469819,"Seeking expertise in Cloud Computing. Also interested in solutions for DevOps, CRM Solutions. Key project involves digital transformation and infrastructure upgrade."
account_113,Account 113 Inc.,EMEA,833471,Seeking expertise in ERP Systems. 
account_114,Account 114 Inc.,LATAM,1222873,Seeking expertise in Data Analytics. Also interested in solutions for Cybersecurity. Key project involves digital transformation and infrastructure upgrade.
account_115,Account 115 Inc.,EMEA,1061157,Seeking expertise in Cloud Computing. Also interested in solutions for CRM Solutions. 
account_116,Account 116 Inc.,North America,1815714,Seeking expertise in DevOps. 
account_117,Account 117 Inc.,EMEA,618725,Seeking expertise in Cybersecurity. 
account_118,Account 118 Inc.,North America,805956,Seeking expertise in DevOps. Key project involves digital transformation and infrastructure upgrade.
account_119,Account 119 Inc.,APAC,783947,Seeking expertise in Data Analytics. Also interested in solutions for Cybersecurity. Key project involves digital transformation and infrastructure upgrade.
account_120,Account 120 Inc.,APAC,1613144,"Seeking expertise in AI/ML. Also interested in solutions for IoT, CRM Solutions, DevOps. "
account_121,Account 121 Inc.,EMEA,1741134,"Seeking expertise in Cybersecurity. Also interested in solutions for AI/ML, CRM Solutions, Data Analytics. Key project involves digital transformation and infrastructure upgrade."
account_122,Account 122 Inc.,APAC,1991405,Seeking expertise in Cloud Computing. Key project involves digital transformation and infrastructure upgrade.
account_123,Account 123 Inc.,LATAM,1543669,"Seeking expertise in AI/ML. Also interested in solutions for CRM Solutions, ERP Systems, Cloud Computing. Key project involves digital transformation and infrastructure upgrade."
account_124,Account 124 Inc.,APAC,757940,"Seeking expertise in IoT. Also interested in solutions for ERP Systems, Data Analytics, Cybersecurity. Key project involves digital transformation and infrastructure upgrade."
account_125,Account 125 Inc.,LATAM,1202947,Seeking expertise in Cloud Computing. Also interested in solutions for Cybersecurity. Key project involves digital transformation and infrastructure upgrade.
account_126,Account 126 Inc.,LATAM,608254,Seeking expertise in Data Analytics. Also interested in solutions for DevOps. 
account_127,Account 127 Inc.,LATAM,1756282,"Seeking expertise in DevOps. Also interested in solutions for Cybersecurity, Data Analytics, ERP Systems. Key project involves digital transformation and infrastructure upgrade."
account_128,Account 128 Inc.,North America,930524,"Seeking expertise in DevOps. Also interested in solutions for ERP Systems, CRM Solutions. Key project involves digital transformation and infrastructure upgrade."
account_129,Account 129 Inc.,North America,533546,"Seeking expertise in IoT. Also interested in solutions for AI/ML, Data Analytics, CRM Solutions. Key project involves digital transformation and infrastructure upgrade."
account_130,Account 130 Inc.,EMEA,1435273,Seeking expertise in CRM Solutions. 
account_131,Account 131 Inc.,LATAM,550352,Seeking expertise in DevOps. Also interested in solutions for Cloud Computing. Key project involves digital transformation and infrastructure upgrade.
account_132,Account 132 Inc.,North America,1317750,Seeking expertise in IoT. Key project involves digital transformation and infrastructure upgrade.
account_133,Account 133 Inc.,EMEA,136161,"Seeking expertise in ERP Systems. Also interested in solutions for Cloud Computing, IoT, Cybersecurity. Key project involves digital transformation and infrastructure upgrade."
account_134,Account 134 Inc.,LATAM,920809,"Seeking expertise in Cloud Computing. Also interested in solutions for CRM Solutions, ERP Systems, DevOps. "
account_135,Account 135 Inc.,EMEA,969695,"Seeking expertise in DevOps. Also interested in solutions for AI/ML, IoT. "
account_136,Account 136 Inc.,EMEA,780485,Seeking expertise in Data Analytics. Also interested in solutions for IoT. 
account_137,Account 137 Inc.,EMEA,182976,Seeking expertise in Cybersecurity. Key project involves digital transformation and infrastructure upgrade.
account_138,Account 138 Inc.,North America,1236998,Seeking expertise in Cloud Computing. 
account_139,Account 139 Inc.,EMEA,1336173,Seeking expertise in AI/ML. 
account_140,Account 140 Inc.,North America,474495,Seeking expertise in DevOps. 
account_141,Account 141 Inc.,North America,981128,"Seeking expertise in ERP Systems. Also interested in solutions for Cloud Computing, AI/ML. "
account_142,Account 142 Inc.,North America,1520095,Seeking expertise in Data Analytics. Key project involves digital transformation and infrastructure upgrade.
account_143,Account 143 Inc.,LATAM,1307142,Seeking expertise in DevOps. 
account_144,Account 144 Inc.,LATAM,1061528,Seeking expertise in Cybersecurity. Key project involves digital transformation and infrastructure upgrade.
account_145,Account 145 Inc.,North America,404508,"Seeking expertise in AI/ML. Also interested in solutions for Cloud Computing, Cybersecurity, Data Analytics. "
account_146,Account 146 Inc.,EMEA,687848,"Seeking expertise in Cybersecurity. Also interested in solutions for ERP Systems, Data Analytics, CRM Solutions. "
account_147,Account 147 Inc.,EMEA,1840767,"Seeking expertise in ERP Systems. Also interested in solutions for Cybersecurity, DevOps. "
account_148,Account 148 Inc.,North America,1908252,"Seeking expertise in DevOps. Also interested in solutions for Cloud Computing, Cybersecurity, AI/ML. "
account_149,Account 149 Inc.,LATAM,695104,Seeking expertise in DevOps. Key project involves digital transformation and infrastructure upgrade.
account_150,Account 150 Inc.,LATAM,1068762,"Seeking expertise in ERP Systems. Also interested in solutions for DevOps, AI/ML. Key project involves digital transformation and infrastructure upgrade."
account_151,Account 151 Inc.,EMEA,1021929,"Seeking expertise in Data Analytics. Also interested in solutions for IoT, Cybersecurity, ERP Systems. "
account_152,Account 152 Inc.,North America,1736333,"Seeking expertise in Cybersecurity. Also interested in solutions for Cloud Computing, ERP Systems, IoT. "
account_153,Account 153 Inc.,North America,1685348,"Seeking expertise in IoT. Also interested in solutions for CRM Solutions, Data Analytics, ERP Systems. Key project involves digital transformation and infrastructure upgrade."
account_154,Account 154 Inc.,North America,1021777,"Seeking expertise in Cloud Computing. Also interested in solutions for IoT, Cybersecurity. Key project involves digital transformation and infrastructure upgrade."
account_155,Account 155 Inc.,APAC,1804886,"Seeking expertise in AI/ML. Also interested in solutions for ERP Systems, Cloud Computing, IoT. Key project involves digital transformation and infrastructure upgrade."
account_156,Account 156 Inc.,EMEA,1074425,"Seeking expertise in CRM Solutions. Also interested in solutions for Cloud Computing, DevOps. "
account_157,Account 157 Inc.,LATAM,901939,"Seeking expertise in DevOps. Also interested in solutions for ERP Systems, AI/ML, Cybersecurity. "
account_158,Account 158 Inc.,APAC,1440422,"Seeking expertise in Cloud Computing. Also interested in solutions for ERP Systems, AI/ML. Key project involves digital transformation and infrastructure upgrade."
account_159,Account 159 Inc.,APAC,1876314,Seeking expertise in Cybersecurity. Also interested in solutions for IoT. 
account_160,Account 160 Inc.,APAC,988146,Seeking expertise in AI/ML. 
account_161,Account 161 Inc.,EMEA,1883898,"Seeking expertise in IoT. Also interested in solutions for Cybersecurity, CRM Solutions, AI/ML. Key project involves digital transformation and infrastructure upgrade."
account_162,Account 162 Inc.,EMEA,593572,"Seeking expertise in ERP Systems. Also interested in solutions for AI/ML, CRM Solutions, DevOps. "
account_163,Account 163 Inc.,North America,1197880,"Seeking expertise in Data Analytics. Also interested in solutions for CRM Solutions, ERP Systems. Key project involves digital transformation and infrastructure upgrade."
account_164,Account 164 Inc.,North America,807059,"Seeking expertise in AI/ML. Also interested in solutions for CRM Solutions, Data Analytics. "
account_165,Account 165 Inc.,North America,1344682,Seeking expertise in Data Analytics. Also interested in solutions for DevOps. Key project involves digital transformation and infrastructure upgrade.
account_166,Account 166 Inc.,EMEA,1007330,Seeking expertise in AI/ML. Also interested in solutions for DevOps. Key project involves digital transformation and infrastructure upgrade.
account_167,Account 167 Inc.,EMEA,1528365,Seeking expertise in Cybersecurity. Also interested in solutions for Cloud Computing. 
account_168,Account 168 Inc.,EMEA,358048,"Seeking expertise in ERP Systems. Also interested in solutions for CRM Solutions, IoT, DevOps. "
account_169,Account 169 Inc.,EMEA,309393,Seeking expertise in DevOps. 
account_170,Account 170 Inc.,APAC,1843731,"Seeking expertise in Cybersecurity. Also interested in solutions for DevOps, Cloud Computing. "
account_171,Account 171 Inc.,LATAM,750162,Seeking expertise in DevOps. Key project involves digital transformation and infrastructure upgrade.
account_172,Account 172 Inc.,LATAM,1269292,"Seeking expertise in Cloud Computing. Also interested in solutions for DevOps, AI/ML, Cybersecurity. Key project involves digital transformation and infrastructure upgrade."
account_173,Account 173 Inc.,EMEA,1675929,"Seeking expertise in Cybersecurity. Also interested in solutions for CRM Solutions, Data Analytics, Cloud Computing. "
account_174,Account 174 Inc.,EMEA,1033290,"Seeking expertise in IoT. Also interested in solutions for DevOps, Cybersecurity. Key project involves digital transformation and infrastructure upgrade."
account_175,Account 175 Inc.,EMEA,231549,Seeking expertise in DevOps. Also interested in solutions for Data Analytics. Key project involves digital transformation and infrastructure upgrade.
account_176,Account 176 Inc.,EMEA,1654480,Seeking expertise in ERP Systems. Also interested in solutions for Cloud Computing. Key project involves digital transformation and infrastructure upgrade.
account_177,Account 177 Inc.,LATAM,1887940,"Seeking expertise in Cybersecurity. Also interested in solutions for Cloud Computing, AI/ML. "
account_178,Account 178 Inc.,North America,961941,Seeking expertise in CRM Solutions. Also interested in solutions for ERP Systems. Key project involves digital transformation and infrastructure upgrade.
account_179,Account 179 Inc.,LATAM,1613654,Seeking expertise in ERP Systems. Also interested in solutions for IoT. 
account_180,Account 180 Inc.,EMEA,1417543,Seeking expertise in IoT. Also interested in solutions for Cybersecurity. Key project involves digital transformation and infrastructure upgrade.
account_181,Account 181 Inc.,EMEA,261329,Seeking expertise in DevOps. Also interested in solutions for Data Analytics. Key project involves digital transformation and infrastructure upgrade.
account_182,Account 182 Inc.,LATAM,1300746,"Seeking expertise in AI/ML. Also interested in solutions for Cybersecurity, Cloud Computing, IoT. "
account_183,Account 183 Inc.,North America,859358,"Seeking expertise in Cybersecurity. Also interested in solutions for Data Analytics, ERP Systems. Key project involves digital transformation and infrastructure upgrade."
account_184,Account 184 Inc.,EMEA,1662923,"Seeking expertise in AI/ML. Also interested in solutions for Cloud Computing, CRM Solutions. Key project involves digital transformation and infrastructure upgrade."
account_185,Account 185 Inc.,APAC,1210831,"Seeking expertise in Data Analytics. Also interested in solutions for IoT, CRM Solutions. Key project involves digital transformation and infrastructure upgrade."
account_186,Account 186 Inc.,EMEA,1375971,"Seeking expertise in Cybersecurity. Also interested in solutions for Data Analytics, IoT. "
account_187,Account 187 Inc.,North America,680306,"Seeking expertise in IoT. Also interested in solutions for CRM Solutions, Data Analytics, Cybersecurity. Key project involves digital transformation and infrastructure upgrade."
account_188,Account 188 Inc.,LATAM,833530,"Seeking expertise in DevOps. Also interested in solutions for Data Analytics, CRM Solutions, Cybersecurity. Key project involves digital transformation and infrastructure upgrade."
account_189,Account 189 Inc.,North America,1144732,Seeking expertise in DevOps. 
account_190,Account 190 Inc.,LATAM,472243,"Seeking expertise in DevOps. Also interested in solutions for CRM Solutions, IoT, Data Analytics. Key project involves digital transformation and infrastructure upgrade."
account_191,Account 191 Inc.,LATAM,295978,"Seeking expertise in CRM Solutions. Also interested in solutions for ERP Systems, AI/ML. Key project involves digital transformation and infrastructure upgrade."
account_192,Account 192 Inc.,APAC,799342,Seeking expertise in Data Analytics. 
account_193,Account 193 Inc.,LATAM,1808042,"Seeking expertise in AI/ML. Also interested in solutions for ERP Systems, IoT. Key project involves digital transformation and infrastructure upgrade."
account_194,Account 194 Inc.,LATAM,1307264,"Seeking expertise in Data Analytics. Also interested in solutions for Cybersecurity, AI/ML. "
account_195,Account 195 Inc.,APAC,945724,"Seeking expertise in CRM Solutions. Also interested in solutions for DevOps, Cybersecurity, AI/ML. Key project involves digital transformation and infrastructure upgrade."
account_196,Account 196 Inc.,APAC,844465,"Seeking expertise in Cybersecurity. Also interested in solutions for Cloud Computing, ERP Systems, AI/ML. "
account_197,Account 197 Inc.,North America,892432,"Seeking expertise in Cybersecurity. Also interested in solutions for DevOps, CRM Solutions. Key project involves digital transformation and infrastructure upgrade."
account_198,Account 198 Inc.,North America,1179862,Seeking expertise in CRM Solutions. 
account_199,Account 199 Inc.,North America,586924,"Seeking expertise in AI/ML. Also interested in solutions for CRM Solutions, Data Analytics. Key project involves digital transformation and infrastructure upgrade."
account_200,Account 200 Inc.,North America,1926319,Seeking expertise in Cybersecurity. Also interested in solutions for DevOps. 
account_201,Account 201 Inc.,APAC,1454071,Seeking expertise in CRM Solutions. Also interested in solutions for IoT. Key project involves digital transformation and infrastructure upgrade.
account_202,Account 202 Inc.,North America,1850710,"Seeking expertise in Cloud Computing. Also interested in solutions for IoT, CRM Solutions, Data Analytics. Key project involves digital transformation and infrastructure upgrade."
account_203,Account 203 Inc.,North America,175034,Seeking expertise in AI/ML. Key project involves digital transformation and infrastructure upgrade.
account_204,Account 204 Inc.,North America,864577,Seeking expertise in AI/ML. Key project involves digital transformation and infrastructure upgrade.
account_205,Account 205 Inc.,APAC,1840933,Seeking expertise in Data Analytics. Key project involves digital transformation and infrastructure upgrade.
account_206,Account 206 Inc.,EMEA,613139,Seeking expertise in DevOps. Key project involves digital transformation and infrastructure upgrade.
account_207,Account 207 Inc.,LATAM,1044235,Seeking expertise in Cloud Computing. Also interested in solutions for Data Analytics. Key project involves digital transformation and infrastructure upgrade.
